prov_name,cpro,munic_name,cmun,codmun,date,area_forestal_ha
Jaén,23,Quesada,73,23073,2015-07-05,9756.76
Granada,18,Lújar,124,18124,2015-07-08,1582.9
León,24,Quintana del Castillo,123,24123,2015-07-15,2209
Toledo,45,Navalcán,110,45110,2015-07-16,961.35
Zamora,49,Trabazos,223,49223,2015-07-21,878.02
Barcelona,8,Òdena,143,8143,2015-07-26,1059.4
León,24,Lucillo,90,24090,2015-07-26,1113
Asturias,33,Tineo,73,33073,2015-07-27,553.14
Soria,42,Burgo de Osma-Ciudad de Osma,43,42043,2015-07-28,528.08
Cáceres,10,Acebo,3,10003,2015-08-06,6830.99
Cáceres,10,Logrosán,109,10109,2015-08-10,776.2
Orense,32,Cualedro,28,32028,2015-08-30,1490.09
Asturias,33,Boal,7,33007,2015-12-19,2554
Asturias,33,Tineo,73,33073,2015-12-20,575.24
Valencia,46,Chella,107,46107,2016-06-15,1535.73
Valencia,46,Carcaixent,83,46083,2016-06-16,2210.67
Albacete,2,Liétor,44,2044,2016-06-30,871
Cáceres,10,Cáceres,37,10037,2016-07-23,1394.46
Castellón,12,Artana,16,12016,2016-07-25,1534.5
Santa Cruz de Tenerife,38,El Paso,27,38027,2016-08-03,4793.63
La Coruña,15,Porto do Son,71,15071,2016-08-10,730
La Coruña,15,Santiago de Compostela,78,15078,2016-08-10,825.18
La Coruña,15,Porto do Son,71,15071,2016-08-10,870
Pontevedra,36,Arbo,1,36001,2016-08-10,1992.05
Cáceres,10,Jerte,107,10107,2016-08-18,1053.7
Navarra,31,Tafalla,227,31227,2016-08-25,1455
Sevilla,41,El Castillo de las Guardas,31,41031,2016-08-28,1224.92
Alicante,3,Benitachell/el Poble Nou de Benitatxell,42,3042,2016-09-04,689.3
Orense,32,Muíños,51,32051,2016-09-05,747
Orense,32,Oímbra,53,32053,2016-09-06,1363.25
Orense,32,Entrimo,30,32030,2016-09-06,2999.5
León,24,Encinedo,67,24067,2016-09-12,810.61
Orense,32,Cualedro,28,32028,2016-09-12,1588.44
León,24,Fabero,70,24070,2016-09-12,2620.88
Salamanca,37,Olmedo de Camaces,223,37223,2016-09-24,656.43
Lérida,25,La Guingueta d'Àneu,903,25903,2016-11-03,567.74
Salamanca,37,Candelario,78,37078,2017-01-25,516.6
León,24,Ponferrada,115,24115,2017-04-19,1251.04
Asturias,33,Grandas de Salime,27,33027,2017-04-20,590.49
Asturias,33,Ibias,28,33028,2017-04-20,647.79
Asturias,33,Allande,1,33001,2017-04-20,746.46
León,24,Benuza,16,24016,2017-04-20,798.34
Cáceres,10,Calzadilla,40,10040,2017-06-24,606.81
Huelva,21,Moguer,50,21050,2017-06-24,7517.88
Valencia,46,Gátova,902,46902,2017-06-28,1181.41
Huelva,21,Minas de Riotinto,49,21049,2017-07-03,739.72
Albacete,2,Yeste,86,2086,2017-07-27,3074.43
Zamora,49,Pino del Oro,157,49157,2017-07-29,2355.69
Cuenca,16,Campillo de Altobuey,42,16042,2017-07-31,1057
Jaén,23,Segura de la Sierra,81,23081,2017-08-03,682.65
Orense,32,Verín,85,32085,2017-08-03,1372.18
Ávila,5,Navarredonda de Gredos,165,5165,2017-08-07,541.22
León,24,Encinedo,67,24067,2017-08-21,9820.66
Salamanca,37,Puente del Congosto,261,37261,2017-08-24,1719.95
Ávila,5,Hoyocasero,101,5101,2017-08-26,924.04
Zamora,49,Fermoselle,65,49065,2017-08-26,1632.44
Sevilla,41,Almadén de la Plata,9,41009,2017-09-08,977.14
Huelva,21,La Granada de Río-Tinto,36,21036,2017-09-08,2956.07
Zamora,49,Vegalatrave,233,49233,2017-09-09,527.26
Las Palmas,35,Tejeda,25,35025,2017-09-20,1937
Orense,32,Lobios,42,32042,2017-10-09,670
Asturias,33,Ibias,28,33028,2017-10-09,2700
